year,Unemployment rate
2005,5.9
2006,4.7
2007,4.3
2008,4.6
2009,7.8
2010,7.7
2011,7.7
2012,6.9
2013,6.6
2014,6.1
2015,6.2
2016,6.1
2017,5.2
2018,4.7
2019,4.7
2020,8.9
